cue_id,act,slot,trigger,trigger_arg,requires,sfx,ui,line,prompt,nudge_after,nudge,note
A1_010,1,10,SESSION_START,,,CHIME_LONG,BOOT_LOG,주 동력 없음. 예비 전력으로 이 방송을 낸다.,,0,,암전에서 소리가 먼저 온다. 첫 줄에 전제를 다 넣지 않는다 — 동력이 없다는 사실 하나.
A1_020,1,20,CUE_END,A1_010,,NONE,BOOT_LOG,동면을 유지할 전력은 미달이다. 그래서 캡슐을 열었다.,,0,,사용자 지시의 인과 그대로 — 동력이 끊겨서 동면이 끝난다. 순서를 뒤집지 않는다.
A1_030,1,30,CUE_END,A1_020,,CHIME_SHORT,BOOT_LOG,"항해 경과 — 1,000,000년 4개월. 이 숫자를 의심할 근거는 내 쪽에 없다.",,0,,화자 성격이 처음 서는 줄. 숫자를 먼저 대고 판단을 뒤에 붙인다.
A1_040,1,40,CUE_END,A1_030,,NONE,BOOT_LOG,"종착지까지 남은 거리는 1,000,000년 전에 마지막으로 갱신됐다.",,0,,표류를 직접 말하지 않는다. 갱신이 멈춘 것으로 읽히게 둔다.
A1_050,1,50,STATE,capsule_open,,CHIME_SHORT,PANEL,캡슐 개방 완료. 응답한 승무원은 지금 서 있는 인원 전부다.,,0,,1~4인 전부에서 성립하는 문장. 인원 수를 문안에 안 박는다.
A1_060,1,60,STATE,player_control_granted,,NONE,PROMPT,일어선다. 걷는 것은 승무원 몫이고 나는 말하는 것만 할 수 있다.,,8,이동 WASD · 시야 마우스,조작 이양을 화자 성격으로 처리한다. 이 한 줄이 이후 모든 안내의 권한 범위를 정한다.
A1_070,1,70,PROXIMITY,quarters_door,,NONE,PANEL,이 방은 숙소다. 문을 나가면 광장이고 배의 나머지는 그 광장에서 갈린다.,,12,문은 앞이다. 광장이 그 너머다,방사형 구조를 처음 알린다. 방 이름을 열거하지 않는다 — 순회에서 각자 소개된다.
A1_080,1,80,DOOR_PASS_FIRST,Quarters,,NONE,PANEL,승무원이 할 일은 이 배를 다시 움직이게 하는 것이다. 내가 할 수 있는 것은 계기판을 읽어 주는 것까지다.,,0,,목표 선언. 4막 마지막 줄과 짝을 이룬다.
A1_090,1,90,CUE_END,A1_080,,CHIME_LONG,BANNER,점검을 시작한다. 방을 하나씩 돌아본다 — 순서는 승무원이 정한다.,,0,,1막 완료 플래그. 순회 순서를 강제하지 않는다는 것을 문안이 먼저 약속한다.
A2_010,2,10,ROOM_FIRST_ENTER,Plaza,act1_done,CHIME_SHORT,PANEL,중앙 광장. 144m² 이고 배에서 가장 넓다. 문은 전부 이 방 변 위에 있다 — 경유해서 가는 방이 없다.,,0,,"발자국은 central-plaza-hub-layout-v1 §2.2 실측이고, 문은 개수 대신 설계 약속으로 적는다 — 조항 NR-6."
A2_020,2,20,PROXIMITY,plaza_core,,NONE,PANEL,가운데 선 것은 중앙 코어다. 배관과 상황판이 지나가고 저 안쪽은 아직 막혀 있다.,,0,,"3막을 여기서 심는다. ""아직"" 하나로 나중에 뚫린다는 것을 예고한다."
A2_030,2,30,PROXIMITY,zone_gauge,,NONE,PANEL,게이지는 각 방 안쪽 끝벽에 있다. 광장에서는 등급만 보이고 수치는 2m 안에서 읽힌다.,,0,,같은 문서 §4.2·§8.2 의 판독 거리 실측. 정보가 구역에 귀속된다는 코어 약속의 첫 교육 지점이다.
A2_040,2,40,ROOM_FIRST_ENTER,Cockpit,act1_done,CHIME_SHORT,PANEL,조종석. 전면 스크린과 조타·점화 계기가 있다.,,0,,방 안내와 기능 안내를 두 큐로 끊는다 — 들어선 프레임에 두 문장이 겹치면 둘 다 안 읽힌다.
A2_050,2,50,PROXIMITY,cockpit_console,,NONE,PANEL,항해는 여기서 시작하고 여기서 끝난다. 추력과 산소가 선 위에 있어야 도킹이 걸린다.,,0,,"현행 HUD 문안(""목표 — 추력과 산소를 선 위로 올려 도킹"")과 같은 말을 쓴다. 같은 것을 두 말로 부르지 않는다."
A2_060,2,60,ROOM_FIRST_ENTER,LifeSupport,act1_done,CHIME_SHORT,PANEL,산소실. 재생기와 예비 탱크가 있다.,,0,,
A2_070,2,70,PROXIMITY,oxygen_recycler,,NONE,PANEL,이 방이 멈추면 다른 방 전부의 시간이 같이 줄어든다. 수리 순서를 정할 때 첫 항목이다.,,0,,우선순위를 말로 주는 유일한 자리. 수치를 안 쓰고 순서만 준다 — 밸런스는 game-balance 소관이다.
A2_080,2,80,ROOM_FIRST_ENTER,PowerPlant,act1_done,CHIME_SHORT,PANEL,전력실. 배전반이 있고 지금 들어오는 것은 예비 전력이다.,,0,,"1막 첫 줄의 ""예비 전력""을 여기서 다시 만나게 한다."
A2_090,2,90,PROXIMITY,breaker_panel,,NONE,PANEL,전력은 나눠 쓰는 것이지 늘려 쓰는 것이 아니다. 한쪽으로 돌리면 다른 쪽이 내려간다.,,0,,절충이 있다는 코어 약속 7번을 한 문장으로 옮긴 것이다.
A2_100,2,100,ROOM_FIRST_ENTER,Coolant,act1_done,CHIME_SHORT,PANEL,냉각실. 냉각통과 방열 배관이 있다.,,0,,
A2_110,2,110,PROXIMITY,coolant_tank,,NONE,PANEL,전력을 올리면 열이 여기로 온다. 두 방을 같이 보는 것이 이 배의 기본 작업이다.,,0,,전력실과 짝으로 읽히는 줄. 두 방을 각각 소개하고 관계를 뒤에 붙인다.
A2_120,2,120,DOOR_PASS_FIRST,pressure_door,,NONE,BANNER,지금 지난 것은 압력문이다. 여닫는 데 0.8초가 걸리고 그 0.8초는 감압 중에는 길다.,,0,,DOOR_TIME 0.8초 실측. 4막 감압 구간의 긴장을 여기서 미리 깔아 둔다.
A2_130,2,130,TOUR_INCOMPLETE_TIMER,45,act1_done,NONE,BANNER,점검이 남았다.,,30,아직 안 들어간 방이 있다 — 광장에서 문을 센다,순회는 순서가 자유라 재촉이 단계가 아니라 진행률에 걸린다. 방 이름을 대지 않는 것이 자율을 유지하는 값이다.
A2_140,2,140,STATE,tour_all_rooms_seen,,CHIME_LONG,PANEL,점검 끝. 결론 하나 — 이 배 안에는 동력을 되살릴 자재가 없다.,,0,,"2막 완료 플래그이자 3막의 동기. 밖으로 나가야 하는 이유를 방 순회의 결론으로 만든다. 방 개수를 안 적는다 — 조항 NR-6."
A3_010,3,10,CUE_END,A2_140,act2_done,NONE,PANEL,자재 잔량 확인 — 밖으로 나가는 문 하나를 낼 만큼은 남아 있다.,,0,,"사용자 지시의 ""현재 있는 재료로"". 액수를 안 적는다 — 튜토리얼 지급량은 game-balance·tech 소관이다."
A3_020,3,20,CUE_END,A3_010,,NONE,PANEL,낼 자리는 중앙 코어 안쪽이다. 코어는 어느 방에서도 같은 거리이고 이미 바깥까지 관이 지나간다.,,0,,광장 가운데를 고른 이유를 문안이 스스로 댄다. 위·아래 방향은 안 적는다 — 형상은 planning·tech 소관이다.
A3_030,3,30,UI_OPEN,hull_schematic,,CHIME_SHORT,PANEL,선체 도면이다. 위에서 내려다본 배 전체이고 세울 수 있는 자리는 굵게 뜬다.,,0,,"화면 용어는 ""선체 도면"" 하나다(core-four §0-4). ""미니맵""을 쓰지 않는다."
A3_040,3,40,CUE_END,A3_030,,NONE,PANEL,카탈로그에 든 것은 중앙 승강구 하나다. 지금 살 수 있는 것이 그것뿐이다.,,0,,잠긴 항목을 회색으로 두지 않는다는 T-4 를 문안 쪽에서도 지킨다 — 없는 것으로 말한다.
A3_050,3,50,CUE_END,A3_040,,NONE,PROMPT,굵은 면에 댄다.,,10,코어 안쪽 굵은 면이다. 다른 면은 지금 안 열린다,"안내는 할 것, 재촉은 못 찾을 때. 같은 자리에서 시간으로 갈아 끼운다."
A3_060,3,60,PLACE_INVALID_ROTATION,,,NONE,PROMPT,승강로 방향이 안 맞는다.,회전 R / 휠,0,,조항 T-3 — 실패 사유가 아니라 조작으로 가르친다. 빨간 사유 문자열을 여기서 쓰지 않는다.
A3_070,3,70,PLACE_CONFIRM,central_shaft,,CHIME_SHORT,BANNER,확정. 자재 잔액 0.,,0,,잔액이 0 으로 떨어지는 것을 화자가 소리 내어 읽는다 — 다음 줄의 교육이 이 0 에 걸린다.
A3_080,3,80,CUE_END,A3_070,,CHIME_SHORT,PANEL,자재는 0 인데 방은 더 지을 수 있다. 방은 자재가 아니라 정비 여력으로 산다 — 그 둘은 섞이지 않는다.,,0,,"조항 O-2. tutorial-o3 §2-1 이 ""가장 값싼 교육 장면""이라 부른 자리를 그대로 옮겼다. 두 잔액이 나란히 뜨는 장면을 만들지 않는 것이 전제다."
A3_090,3,90,STATE,central_shaft_open,,CHIME_LONG,PANEL,중앙 승강구 개통. 이 배에서 밖으로 나가는 길은 지금부터 이것 하나다.,,0,,단일 출입 경로를 문안이 명시한다. 이 줄이 있으면 플레이어가 다른 출구를 찾아 헤매지 않는다. 3막 완료 플래그.
A3_100,3,100,PROXIMITY,shaft_hatch,,NONE,PANEL,해치는 기본이 닫힘이다. 열린 해치는 바닥에 난 구멍이고 저중력에서는 그 구멍이 물건을 받는다.,,0,,LastShiftHatchState 주석의 논리를 문안으로 옮긴 것이다. 3막 완료 플래그는 A3_090 이고 이 큐는 그 뒤에 붙는 규칙 한 줄이다.
A4_010,4,10,STATE,act3_done,act3_done,CHIME_LONG,PANEL,스크린 밖에 잔해가 하나 떠 있다. 저기서 뜯어 오는 것이 지금 유일한 수입이다.,,0,,파밍의 이유를 경제어로 한 번에 준다. 잔해 위치를 좌표로 안 적는다.
A4_020,4,20,STATE,hatch_open,,CHIME_SHORT,BANNER,감압 시작. 넘어가면 배 밖이다.,,8,승강로 바닥을 넘는다,감압 시퀀스 문안 — tutorial-o3 §8-5 가 game-writer 몫으로 남긴 항목이다.
A4_030,4,30,STATE,suit_oxygen_visible,,CHIME_SHORT,PANEL,우주복 산소 80초. 이 시계는 배 안으로 돌아오면 멈추고 다시 찬다.,,0,,SuitOxygen 80초 실측. 겁을 주는 대신 멈추는 조건을 같은 줄에 붙인다 — 첫 EVA 에서 산소로 겁주지 않는다는 §5.2 를 문안이 지킨다.
A4_040,4,40,PROXIMITY,salvage_field,,NONE,BANNER,잔해까지 간다. 거리는 왕복 예산의 절반 안이다.,,15,진행 표시가 가리키는 쪽이다,선외 이동 방식(유영/자기부츠)이 미확정이라 발밑을 서술하지 않는다.
A4_050,4,50,HARVEST,1,,NONE,BANNER,자재 한 덩이. 손은 두 덩이까지다.,,0,,손 한계를 차기 전에 먼저 말한다 — 차고 나서 말하면 그건 오류 메시지가 된다.
A4_060,4,60,CARRY_FULL,,,CHIME_SHORT,PANEL,두 덩이. 손이 찼다 — 세 번째는 안 뜯긴다. 고장이 아니다.,,0,,§1-1 의 오학습을 정면으로 막는 줄. TryHarvest 가 조용히 false 를 돌리는 것이 유일한 신호라서 문안이 대신 말해야 한다.
A4_070,4,70,CUE_END,A4_060,,NONE,BANNER,돌아선다. 산소는 반 이상 남아 있다.,,20,들어온 길이 유일한 길이다 — 승강구로 돌아간다,복귀 재촉이 방향을 다시 말해 준다. 출입구가 하나라는 것이 여기서 값을 한다.
A4_080,4,80,DEPOSIT_FIRST,,,CHIME_SHORT,PANEL,가압 구역에 발이 닿는 순간 들고 있던 것이 원장에 들어갔다. 내려놓는 동작은 없다.,,0,,조항 T-2 — 적재에 새 동사를 안 만든다. 문안이 가르치는 것은 동작이 아니라 경계다.
A4_090,4,90,STATE,field_remaining_gt_zero,,NONE,PANEL,잔해에 두 덩이 남았다. 한 번 더 나간다 — 왕복이 세는 단위다.,,0,,조항 T-1. ChunksPerField 4 / BaseCarryCapacity 2 에서 왕복이 반드시 두 번이다.
A4_100,4,100,FIELD_CLEAR,,,CHIME_LONG,PANEL,잔해 소진. 자재 4.,,0,,수확이 끝난 것을 숫자로 닫는다.
A4_110,4,110,CUE_END,A4_100,,NONE,PANEL,여기까지가 이 배의 한 바퀴다 — 나가서 뜯고 도면에서 붙이고 조종석에서 항해한다.,,0,,"사용자가 요구한 ""전체적으로 뭘 해야 하는지 감이 잡혀야 한다""의 자리. 세 동사로만 적는다."
A4_120,4,120,CUE_END,A4_110,,CHIME_LONG,PANEL,붙일 자리는 승무원이 정한다. 안 되는 자리에는 빨간 한 줄이 뜬다. 안내를 끝낸다 — 나는 계기판까지다.,,0,,손을 떼는 줄. 1막 A1_080 과 같은 말로 닫아 화자의 권한 범위가 처음부터 끝까지 같았음을 보인다. 4막 완료 플래그.
S_010,S,10,OXY_BELOW,0.5,eva_active,NONE,BANNER,우주복 산소 절반.,,0,,상시 조건부 큐. 막 순서와 무관하고 EVA 중에만 산다. 첫 경고는 판단하지 않고 사실만 준다.
S_020,S,20,OXY_BELOW,0.25,eva_active,BEEP_WARN,BANNER,산소 20초. 지금 돌아서면 닿는다.,,0,,경고에 해법을 같이 붙인다 — 남은 초만 주면 그건 재촉이 아니라 압박이다.
S_030,S,30,OXY_BELOW,0.1,eva_active,BEEP_WARN,BANNER,산소 8초.,,0,,마지막 경고는 짧게. 이 구간에서 읽을 수 있는 것은 숫자 하나다.
S_040,S,40,AUTO_RECOVER,,,BEEP_WARN,PANEL,산소 0. 자동 복귀했다. 들고 있던 것은 놓쳤고 그건 저 밖에 그대로 있다.,,0,,"조항 O-7 은 죽지 않는다, 조항 T-8 은 튜토리얼 한정으로 잃은 몫이 잔해로 되돌아간다. 뒷문장이 T-8 을 문안으로 보증한다 — 진행 불능이 아니라는 것을 그 자리에서 알려야 한다."
S_050,S,50,STATE,zone_depressurizing,,BEEP_WARN,BANNER,지금 있는 구역의 압력이 내려간다. 문을 닫으면 멈춘다.,,0,,"감압 경고 문안. 정보가 구역에 귀속된다는 규약대로 ""지금 있는 구역""으로만 말한다."
S_060,S,60,SKIP_PRESSED,,,CHIME_SHORT,PANEL,안내를 건너뛴다. 승강구는 세워 두고 자재는 안 준다.,,0,,조항 T-7 의 대가를 그대로 적는다. 건너뛴 판이 무엇을 포기한 것인지 그 자리에서 말한다.
S_070,S,70,STATE,cue_reentry,,NONE,BANNER,같은 항목이다.,,0,,"단계 재진입 시 안내 앞에 한 번 붙는 접두 줄. 문안을 새로 쓰지 않고 ""다시 읽는 중""이라는 표시만 준다 — 조항 NR-4."
